	study_name	sample_id	NCBI_accession	ftp_urls	url_counts
22056	XieH_2016	YSZC12003_37208R1	ERR912147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912147/ERR912147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912147/ERR912147_2.fastq.gz	2
22057	XieH_2016	YSZC12003_37209	ERR912148	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912148/ERR912148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912148/ERR912148_2.fastq.gz	2
22058	XieH_2016	YSZC12003_37210	ERR912046	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912046/ERR912046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912046/ERR912046_2.fastq.gz	2
22059	XieH_2016	YSZC12003_37222	ERR912115	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912115/ERR912115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912115/ERR912115_2.fastq.gz	2
22060	XieH_2016	YSZC12003_37223	ERR912047	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912047/ERR912047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912047/ERR912047_2.fastq.gz	2
22061	XieH_2016	YSZC12003_37228	ERR912116	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912116/ERR912116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912116/ERR912116_2.fastq.gz	2
22062	XieH_2016	YSZC12003_37229	ERR912048	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912048/ERR912048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912048/ERR912048_2.fastq.gz	2
22063	XieH_2016	YSZC12003_37232	ERR912194	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912194/ERR912194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912194/ERR912194_2.fastq.gz	2
22064	XieH_2016	YSZC12003_37233	ERR912049	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912049/ERR912049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912049/ERR912049_2.fastq.gz	2
22065	XieH_2016	YSZC12003_37254	ERR912149	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912149/ERR912149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912149/ERR912149_2.fastq.gz	2
22066	XieH_2016	YSZC12003_37255	ERR912117	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912117/ERR912117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912117/ERR912117_2.fastq.gz	2
22067	XieH_2016	YSZC12003_37264	ERR912118	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912118/ERR912118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912118/ERR912118_2.fastq.gz	2
22068	XieH_2016	YSZC12003_37265R1	ERR912050	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912050/ERR912050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912050/ERR912050_2.fastq.gz	2
22069	XieH_2016	YSZC12003_37268R1	ERR912150	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912150/ERR912150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912150/ERR912150_2.fastq.gz	2
22070	XieH_2016	YSZC12003_37269	ERR912051	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912051/ERR912051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912051/ERR912051_2.fastq.gz	2
22071	XieH_2016	YSZC12003_37270	ERR912151	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912151/ERR912151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912151/ERR912151_2.fastq.gz	2
22072	XieH_2016	YSZC12003_37271R1	ERR912052	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912052/ERR912052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912052/ERR912052_2.fastq.gz	2
22073	XieH_2016	YSZC12003_37276	ERR912119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912119/ERR912119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912119/ERR912119_2.fastq.gz	2
22074	XieH_2016	YSZC12003_37277	ERR912053	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912053/ERR912053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912053/ERR912053_2.fastq.gz	2
22075	XieH_2016	YSZC12003_37282	ERR912054	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912054/ERR912054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912054/ERR912054_2.fastq.gz	2
22076	XieH_2016	YSZC12003_37283	ERR912055	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912055/ERR912055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912055/ERR912055_2.fastq.gz	2
22077	XieH_2016	YSZC12003_37284	ERR912120	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912120/ERR912120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912120/ERR912120_2.fastq.gz	2
22078	XieH_2016	YSZC12003_37285	ERR912152	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912152/ERR912152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912152/ERR912152_2.fastq.gz	2
